ID (受访者编码),iwy,city,CO,NO2,SO2,O3,PM25,PM1,PM10
10104123001,2018,保山市,0.599999987,12.30000018,7.100000106,94.60000141,21.60000032,13.1000002,44.40000066
10104123001,2020,保山市,0.689999985,14.10000021,8.200000122,87.5000013,18.40000027,11.50000017,26.50000039
10104123001,2013,保山市,0.999999978,18.90000028,13.80000021,76.40000114,34.50000051,20.3000003,59.90000089
10104123001,2015,保山市,0.89999998,16.90000025,13.80000021,77.60000116,30.90000046,18.20000027,57.70000086
10104124001,2020,保山市,0.689999985,14.10000021,8.200000122,87.5000013,18.40000027,11.50000017,26.50000039
10104124001,2013,保山市,0.999999978,18.90000028,13.80000021,76.40000114,34.50000051,20.3000003,59.90000089
10104124001,2018,保山市,0.599999987,12.30000018,7.100000106,94.60000141,21.60000032,13.1000002,44.40000066
10104124001,2015,保山市,0.89999998,16.90000025,13.80000021,77.60000116,30.90000046,18.20000027,57.70000086
10104124002,2013,保山市,0.999999978,18.90000028,13.80000021,76.40000114,34.50000051,20.3000003,59.90000089
10104124002,2015,保山市,0.89999998,16.90000025,13.80000021,77.60000116,30.90000046,18.20000027,57.70000086
10104124002,2020,保山市,0.689999985,14.10000021,8.200000122,87.5000013,18.40000027,11.50000017,26.50000039
10104124002,2018,保山市,0.599999987,12.30000018,7.100000106,94.60000141,21.60000032,13.1000002,44.40000066
10104125001,2018,保山市,0.599999987,12.30000018,7.100000106,94.60000141,21.60000032,13.1000002,44.40000066
10104125001,2013,保山市,0.999999978,18.90000028,13.80000021,76.40000114,34.50000051,20.3000003,59.90000089
10104125001,2015,保山市,0.89999998,16.90000025,13.80000021,77.60000116,30.90000046,18.20000027,57.70000086
10104125001,2020,保山市,0.689999985,14.10000021,8.200000122,87.5000013,18.40000027,11.50000017,26.50000039
10104125002,2013,保山市,0.999999978,18.90000028,13.80000021,76.40000114,34.50000051,20.3000003,59.90000089
10104125002,2020,保山市,0.689999985,14.10000021,8.200000122,87.5000013,18.40000027,11.50000017,26.50000039
10104125002,2018,保山市,0.599999987,12.30000018,7.100000106,94.60000141,21.60000032,13.1000002,44.40000066
10104125002,2015,保山市,0.89999998,16.90000025,13.80000021,77.60000116,30.90000046,18.20000027,57.70000086
10104126001,2020,保山市,0.689999985,14.10000021,8.200000122,87.5000013,18.40000027,11.50000017,26.50000039
10104126001,2013,保山市,0.999999978,18.90000028,13.80000021,76.40000114,34.50000051,20.3000003,59.90000089
10104126001,2018,保山市,0.599999987,12.30000018,7.100000106,94.60000141,21.60000032,13.1000002,44.40000066
10104126002,2018,保山市,0.599999987,12.30000018,7.100000106,94.60000141,21.60000032,13.1000002,44.40000066
10104126002,2020,保山市,0.689999985,14.10000021,8.200000122,87.5000013,18.40000027,11.50000017,26.50000039
10104127001,2015,保山市,0.89999998,16.90000025,13.80000021,77.60000116,30.90000046,18.20000027,57.70000086
10104127001,2020,保山市,0.689999985,14.10000021,8.200000122,87.5000013,18.40000027,11.50000017,26.50000039
10104127001,2018,保山市,0.599999987,12.30000018,7.100000106,94.60000141,21.60000032,13.1000002,44.40000066
10104127001,2013,保山市,0.999999978,18.90000028,13.80000021,76.40000114,34.50000051,20.3000003,59.90000089
10104127002,2015,保山市,0.89999998,16.90000025,13.80000021,77.60000116,30.90000046,18.20000027,57.70000086
10104127002,2013,保山市,0.999999978,18.90000028,13.80000021,76.40000114,34.50000051,20.3000003,59.90000089
10104127002,2018,保山市,0.599999987,12.30000018,7.100000106,94.60000141,21.60000032,13.1000002,44.40000066
10104127002,2020,保山市,0.689999985,14.10000021,8.200000122,87.5000013,18.40000027,11.50000017,26.50000039
10104128001,2018,保山市,0.599999987,12.30000018,7.100000106,94.60000141,21.60000032,13.1000002,44.40000066
10104128001,2015,保山市,0.89999998,16.90000025,13.80000021,77.60000116,30.90000046,18.20000027,57.70000086
10104128001,2020,保山市,0.689999985,14.10000021,8.200000122,87.5000013,18.40000027,11.50000017,26.50000039
10104128001,2013,保山市,0.999999978,18.90000028,13.80000021,76.40000114,34.50000051,20.3000003,59.90000089
10104128002,2013,保山市,0.999999978,18.90000028,13.80000021,76.40000114,34.50000051,20.3000003,59.90000089
10104128002,2020,保山市,0.689999985,14.10000021,8.200000122,87.5000013,18.40000027,11.50000017,26.50000039
10104128002,2018,保山市,0.599999987,12.30000018,7.100000106,94.60000141,21.60000032,13.1000002,44.40000066
10104128002,2015,保山市,0.89999998,16.90000025,13.80000021,77.60000116,30.90000046,18.20000027,57.70000086
10104129001,2020,保山市,0.689999985,14.10000021,8.200000122,87.5000013,18.40000027,11.50000017,26.50000039
10104129001,2013,保山市,0.999999978,18.90000028,13.80000021,76.40000114,34.50000051,20.3000003,59.90000089
10104129001,2015,保山市,0.89999998,16.90000025,13.80000021,77.60000116,30.90000046,18.20000027,57.70000086
10104129001,2018,保山市,0.599999987,12.30000018,7.100000106,94.60000141,21.60000032,13.1000002,44.40000066
10104129002,2015,保山市,0.89999998,16.90000025,13.80000021,77.60000116,30.90000046,18.20000027,57.70000086
10104129002,2020,保山市,0.689999985,14.10000021,8.200000122,87.5000013,18.40000027,11.50000017,26.50000039
10104129002,2013,保山市,0.999999978,18.90000028,13.80000021,76.40000114,34.50000051,20.3000003,59.90000089
10104129002,2018,保山市,0.599999987,12.30000018,7.100000106,94.60000141,21.60000032,13.1000002,44.40000066
10104130001,2018,保山市,0.599999987,12.30000018,7.100000106,94.60000141,21.60000032,13.1000002,44.40000066
10104130001,2020,保山市,0.689999985,14.10000021,8.200000122,87.5000013,18.40000027,11.50000017,26.50000039
10104130001,2013,保山市,0.999999978,18.90000028,13.80000021,76.40000114,34.50000051,20.3000003,59.90000089
10104130001,2015,保山市,0.89999998,16.90000025,13.80000021,77.60000116,30.90000046,18.20000027,57.70000086
10104130002,2020,保山市,0.689999985,14.10000021,8.200000122,87.5000013,18.40000027,11.50000017,26.50000039
10104130002,2013,保山市,0.999999978,18.90000028,13.80000021,76.40000114,34.50000051,20.3000003,59.90000089
